Dimension,NNZ_per_row,Sparsity,Raw_Time
460,46,0.1,0.000839109,
461,47,0.1,0.00101946,
462,47,0.1,0.000889018,
463,47,0.1,0.000888947,
464,47,0.1,0.000870636,
465,47,0.1,0.00087522,
466,47,0.1,0.000876447,
467,47,0.1,0.000869964,
468,47,0.1,0.00130993,
469,47,0.1,0.000881471,
470,47,0.1,0.000892307,
471,48,0.1,0.000921207,
472,48,0.1,0.000924105,
473,48,0.1,0.000920701,
474,48,0.1,0.000939606,
475,48,0.1,0.000952728,
476,48,0.1,0.00092479,
477,48,0.1,0.000935477,
478,48,0.1,0.000947332,
479,48,0.1,0.000943467,
480,48,0.1,0.00109375,
481,49,0.1,0.000976569,
482,49,0.1,0.000996132,
483,49,0.1,0.00097778,
484,49,0.1,0.000972229,
485,49,0.1,0.000989574,
486,49,0.1,0.00097341,
487,49,0.1,0.000980673,
488,49,0.1,0.000987866,
489,49,0.1,0.00104325,
490,49,0.1,0.000990945,
491,50,0.1,0.00104889,
492,50,0.1,0.00103441,
493,50,0.1,0.00103388,
494,50,0.1,0.00104429,
495,50,0.1,0.00104592,
496,50,0.1,0.00152425,
497,50,0.1,0.00105133,
498,50,0.1,0.00104902,
499,50,0.1,0.00103952,
500,50,0.1,0.00127617,
501,51,0.1,0.00108262,
502,51,0.1,0.00110105,
503,51,0.1,0.00109234,
504,51,0.1,0.00109227,
505,51,0.1,0.00109059,
506,51,0.1,0.00130154,
507,51,0.1,0.00111907,
508,51,0.1,0.00110313,
509,51,0.1,0.00110485,
510,51,0.1,0.00111151,
511,52,0.1,0.00132833,
512,52,0.1,0.00115732,
513,52,0.1,0.0011468,
514,52,0.1,0.00115332,
515,52,0.1,0.00116269,
516,52,0.1,0.00115113,
517,52,0.1,0.0011519,
518,52,0.1,0.00155675,
519,52,0.1,0.00117475,
520,52,0.1,0.00116146,
521,53,0.1,0.00122252,
522,53,0.1,0.00121437,
523,53,0.1,0.00124137,
524,53,0.1,0.00122636,
525,53,0.1,0.00156413,
526,53,0.1,0.00204694,
527,53,0.1,0.00123625,
528,53,0.1,0.00122215,
529,53,0.1,0.00123559,
530,53,0.1,0.00123192,
531,54,0.1,0.00128151,
532,54,0.1,0.00136017,
533,54,0.1,0.00127889,
534,54,0.1,0.00130068,
535,54,0.1,0.00128952,
536,54,0.1,0.00130435,
537,54,0.1,0.00129504,
538,54,0.1,0.00128726,
539,54,0.1,0.00129478,
540,54,0.1,0.00128426,
541,55,0.1,0.00134997,
542,55,0.1,0.00135031,
543,55,0.1,0.00148793,
544,55,0.1,0.00136675,
545,55,0.1,0.00137322,
546,55,0.1,0.00136752,
547,55,0.1,0.00137085,
548,55,0.1,0.00138327,
549,55,0.1,0.00136891,
550,55,0.1,0.00137052,
551,56,0.1,0.00142706,
552,56,0.1,0.00142433,
553,56,0.1,0.00142363,
554,56,0.1,0.00166026,
555,56,0.1,0.00191766,
556,56,0.1,0.00142968,
557,56,0.1,0.00143162,
558,56,0.1,0.00274952,
559,56,0.1,0.00143412,
560,56,0.1,0.0014522,
561,57,0.1,0.00147781,
562,57,0.1,0.00149954,
563,57,0.1,0.00149034,
564,57,0.1,0.00149067,
565,57,0.1,0.00149411,
566,57,0.1,0.00170698,
567,57,0.1,0.00150815,
568,57,0.1,0.00150662,
569,57,0.1,0.00171007,
570,57,0.1,0.00150528,
571,58,0.1,0.00157881,
572,58,0.1,0.00156512,
573,58,0.1,0.00198129,
574,58,0.1,0.00205741,
575,58,0.1,0.00207797,
576,58,0.1,0.00158166,
577,58,0.1,0.00158824,
578,58,0.1,0.00158839,
579,58,0.1,0.00160672,
580,58,0.1,0.00158722,
581,59,0.1,0.00164519,
582,59,0.1,0.00167123,
583,59,0.1,0.0016653,
584,59,0.1,0.00165628,
585,59,0.1,0.00167161,
586,59,0.1,0.00165669,
587,59,0.1,0.00166112,
588,59,0.1,0.00298824,
589,59,0.1,0.00224564,
590,59,0.1,0.00166792,
591,60,0.1,0.00172469,
592,60,0.1,0.00173256,
593,60,0.1,0.00174076,
594,60,0.1,0.00213185,
595,60,0.1,0.00180745,
596,60,0.1,0.00173949,
597,60,0.1,0.00237099,
598,60,0.1,0.00172596,
599,60,0.1,0.00174563,
600,60,0.1,0.00173686,
601,61,0.1,0.0022306,
602,61,0.1,0.00180696,
603,61,0.1,0.00181026,
604,61,0.1,0.00181051,
605,61,0.1,0.00182441,
606,61,0.1,0.00182012,
607,61,0.1,0.00183285,
608,61,0.1,0.00185183,
609,61,0.1,0.00183879,
610,61,0.1,0.00219515,
611,62,0.1,0.00190596,
612,62,0.1,0.00190743,
613,62,0.1,0.00191464,
614,62,0.1,0.00189788,
615,62,0.1,0.00235713,
616,62,0.1,0.00190175,
617,62,0.1,0.00190518,
618,62,0.1,0.00190735,
619,62,0.1,0.00192967,
620,62,0.1,0.00191883,
621,63,0.1,0.00198035,
622,63,0.1,0.00198977,
623,63,0.1,0.00199731,
624,63,0.1,0.00200046,
625,63,0.1,0.00225381,
626,63,0.1,0.00200136,
627,63,0.1,0.00250421,
628,63,0.1,0.00234803,
629,63,0.1,0.00200962,
630,63,0.1,0.00201477,
631,64,0.1,0.00207973,
632,64,0.1,0.00226033,
633,64,0.1,0.00208887,
634,64,0.1,0.00209076,
635,64,0.1,0.00221337,
636,64,0.1,0.0021007,
637,64,0.1,0.00212385,
638,64,0.1,0.00210787,
639,64,0.1,0.00211885,
640,64,0.1,0.00210523,
641,65,0.1,0.00216336,
642,65,0.1,0.00219258,
643,65,0.1,0.00218595,
644,65,0.1,0.0021748,
645,65,0.1,0.00361663,
646,65,0.1,0.00217966,
647,65,0.1,0.00245933,
648,65,0.1,0.00218723,
649,65,0.1,0.00230473,
650,65,0.1,0.00219591,
651,66,0.1,0.00226378,
652,66,0.1,0.00273535,
653,66,0.1,0.00227232,
654,66,0.1,0.00227111,
655,66,0.1,0.00244215,
656,66,0.1,0.00227577,
657,66,0.1,0.00247028,
658,66,0.1,0.00230062,
659,66,0.1,0.00230451,
660,66,0.1,0.00243681,
661,67,0.1,0.0023691,
662,67,0.1,0.00237178,
663,67,0.1,0.00270092,
664,67,0.1,0.00243575,
665,67,0.1,0.00274983,
666,67,0.1,0.00238417,
667,67,0.1,0.00238829,
668,67,0.1,0.00239817,
669,67,0.1,0.00272018,
670,67,0.1,0.00283876,
671,68,0.1,0.00247945,
672,68,0.1,0.00255319,
673,68,0.1,0.00248473,
674,68,0.1,0.00246549,
675,68,0.1,0.0029247,
676,68,0.1,0.00248782,
677,68,0.1,0.00248609,
678,68,0.1,0.00248897,
679,68,0.1,0.00251633,
680,68,0.1,0.00252258,
681,69,0.1,0.00256963,
682,69,0.1,0.00261828,
683,69,0.1,0.00259262,
684,69,0.1,0.00294425,
685,69,0.1,0.0026045,
686,69,0.1,0.00259071,
687,69,0.1,0.00290868,
688,69,0.1,0.00299548,
689,69,0.1,0.00261755,
690,69,0.1,0.00262595,
691,70,0.1,0.00271421,
692,70,0.1,0.00282145,
693,70,0.1,0.0027002,
694,70,0.1,0.00268404,
695,70,0.1,0.00270055,
696,70,0.1,0.00271635,
697,70,0.1,0.00303082,
698,70,0.1,0.00272024,
699,70,0.1,0.00303843,
700,70,0.1,0.00273146,
701,71,0.1,0.00280863,
702,71,0.1,0.00280149,
703,71,0.1,0.00293664,
704,71,0.1,0.00281492,
705,71,0.1,0.00281682,
706,71,0.1,0.00280756,
707,71,0.1,0.00280995,
708,71,0.1,0.00283487,
709,71,0.1,0.00283172,
710,71,0.1,0.00282416,
711,72,0.1,0.00291236,
712,72,0.1,0.0029164,
713,72,0.1,0.0033044,
714,72,0.1,0.00292408,
715,72,0.1,0.00293427,
716,72,0.1,0.0029511,
717,72,0.1,0.00296186,
718,72,0.1,0.00294206,
719,72,0.1,0.00294403,
720,72,0.1,0.00293596,
721,73,0.1,0.00302328,
722,73,0.1,0.00303655,
723,73,0.1,0.00342132,
724,73,0.1,0.00302388,
725,73,0.1,0.00310845,
726,73,0.1,0.00344035,
727,73,0.1,0.0030539,
728,73,0.1,0.00305562,
729,73,0.1,0.0030613,
730,73,0.1,0.00308543,
731,74,0.1,0.00312341,
732,74,0.1,0.00317255,
733,74,0.1,0.00315883,
734,74,0.1,0.00317007,
735,74,0.1,0.00340321,
736,74,0.1,0.00319174,
737,74,0.1,0.00318832,
