Dimension,B_Sparsity,C_Sparsity,Unzipper_Time1,Unzipper_Time2,Unzipper_Time7,Unzipper_Time8,Unzipper_Time13,Unzipper_Time14,Unzipper_Time24,Unzipper_Time25,Unzipper_Time33,Unzipper_Time34,Unzipper_Time35
3793,5,50,0.777951,0.708257,0.779646,0.720798,0.731497,0.781519,2.82267,2.91834,23.1819,1.04397,1.02528
4833,5,50,1.66985,1.50227,1.67516,1.49084,1.51305,1.65261,5.76428,6.06496,49.9741,2.1379,2.07453
6158,5,50,3.5143,3.08309,3.50892,3.08485,3.11068,3.49486,11.8032,12.5931,104.013,4.36655,4.20193
7848,5,50,7.3764,6.40764,7.40343,6.27582,6.44787,7.32016,24.4994,26.3279,216.332,9.0103,8.63709
10000,5,50,15.2353,13.2462,15.3072,13.2418,13.3241,15.5572,51.54,55.5532,446.326,18.6753,17.7199
100,10,5,9.661e-06,7.607e-06,1.0158e-05,8.123e-06,7.082e-06,1.2368e-05,0.000116659,0.000171776,7.3504e-05,6.487e-06,6.064e-06
127,10,5,1.7681e-05,1.3791e-05,1.8431e-05,1.4512e-05,1.2329e-05,2.2218e-05,0.000227634,0.000237285,0.000174256,1.2151e-05,1.7185e-05
162,10,5,4.4692e-05,3.4988e-05,3.5076e-05,2.6937e-05,3.1786e-05,4.042e-05,0.000464411,0.00047504,0.000266379,2.369e-05,2.124e-05
207,10,5,7.1015e-05,4.4698e-05,5.9403e-05,4.995e-05,4.2688e-05,7.0332e-05,0.00101787,0.00108122,0.00071037,4.3841e-05,4.7649e-05
264,10,5,0.000157077,0.00012875,0.000109079,9.7552e-05,8.1941e-05,0.000126998,0.00203971,0.00200369,0.000983906,9.0034e-05,0.00015125
336,10,5,0.000316464,0.000175603,0.000205106,0.000198509,0.000154755,0.000226479,0.00381258,0.00399458,0.00248732,0.000165184,0.000163694
428,10,5,0.000421072,0.00038699,0.00044714,0.000429481,0.000684545,0.000422918,0.00832644,0.00815704,0.0050091,0.000337674,0.000555409
546,10,5,0.000794908,0.00076481,0.00084394,0.00123473,0.000780629,0.000801675,0.015355,0.0147196,0.0088833,0.000651081,0.000640386
695,10,5,0.00209123,0.00194074,0.00161579,0.00157637,0.00150455,0.00153824,0.0304771,0.0294985,0.0170236,0.00128647,0.00125512
886,10,5,0.00306457,0.00297511,0.00368168,0.00309333,0.00297772,0.00349391,0.0586608,0.0589615,0.0353657,0.00262577,0.00310361
1129,10,5,0.00648841,0.006302,0.00621513,0.00603037,0.00580195,0.00595919,0.120659,0.118937,0.0676799,0.00527582,0.00511908
1438,10,5,0.0126196,0.0127371,0.012261,0.0120111,0.0118941,0.0122238,0.241222,0.24038,0.135901,0.0106429,0.0111232
1833,10,5,0.025161,0.025012,0.0249336,0.0239386,0.0244877,0.0251375,0.491625,0.492897,0.269045,0.0220222,0.0221574
