Dimension,B_Sparsity,C_Sparsity,Unzipper_Time1,Unzipper_Time2,Unzipper_Time7,Unzipper_Time8,Unzipper_Time13,Unzipper_Time14
2976,10,10,0.190362,0.179823,0.192051,0.180438,0.180886,0.18898,
3793,10,10,0.394013,0.369641,0.397886,0.369946,0.370455,0.394121,
4833,10,10,0.813068,0.759198,0.820198,0.761326,0.76319,0.813029,
6158,10,10,1.70369,1.59188,1.71521,1.59868,1.59525,1.69975,
7848,10,10,3.612,3.29181,3.64874,3.29045,3.28879,3.61339,
10000,10,10,7.59018,6.79769,7.60829,6.79066,6.80369,7.58832,
100,10,25,2.3199e-05,2.2519e-05,2.3786e-05,4.2236e-05,2.2841e-05,2.2865e-05,
127,10,25,4.5075e-05,4.2783e-05,5.1118e-05,4.685e-05,4.3665e-05,4.3095e-05,
162,10,25,8.9565e-05,8.7081e-05,9.1394e-05,0.000177583,0.000165502,8.6966e-05,
207,10,25,0.000172639,0.000315712,0.000173997,0.000172492,0.00017295,0.000168227,
264,10,25,0.000341774,0.000587162,0.000346773,0.000341365,0.000332495,0.000331348,
336,10,25,0.000689589,0.000687009,0.000683161,0.000668268,0.000660435,0.000650782,
428,10,25,0.00133765,0.00128033,0.00134661,0.00131998,0.0012907,0.00129619,
546,10,25,0.00277549,0.00296907,0.00277024,0.00270114,0.00282387,0.0029261,
695,10,25,0.00570688,0.00560115,0.00564118,0.0054684,0.00542309,0.00547943,
886,10,25,0.0114812,0.0110022,0.0114756,0.01112,0.0110436,0.011214,
1129,10,25,0.0235729,0.022658,0.0237434,0.0228111,0.0231201,0.0230588,
1438,10,25,0.0483714,0.04672,0.0483403,0.0469852,0.0466831,0.0477799,
1833,10,25,0.100943,0.0980358,0.102974,0.0971273,0.0972027,0.100917,
2336,10,25,0.212937,0.200734,0.212741,0.199313,0.199981,0.210764,
2976,10,25,0.44032,0.414274,0.44191,0.411574,0.41263,0.436751,
3793,10,25,0.909765,0.860075,0.915242,0.853555,0.855425,0.906975,
4833,10,25,1.90909,1.76411,1.91886,1.76188,1.7685,1.90029,
6158,10,25,4.01906,3.64087,4.02615,3.6359,3.64893,4.01476,
7848,10,25,8.51362,7.56303,8.56391,7.51944,7.57361,8.50301,
10000,10,25,17.9643,15.4917,17.7487,15.5558,15.5097,17.7452,
100,10,50,6.5024e-05,3.2293e-05,6.8026e-05,6.5306e-05,3.3565e-05,3.1892e-05,
127,10,50,6.768e-05,6.3626e-05,6.9566e-05,6.5261e-05,6.4486e-05,8.8084e-05,
162,10,50,0.00013829,0.000130959,0.000138248,0.000134701,0.000133892,0.00013176,
207,10,50,0.000267405,0.000254079,0.000267642,0.000261568,0.000259315,0.000257206,
264,10,50,0.000569543,0.000523289,0.000554448,0.000541476,0.000778593,0.000527569,
336,10,50,0.00109534,0.00129697,0.00109401,0.00105063,0.0010594,0.00104434,
428,10,50,0.0023222,0.00212146,0.00222818,0.0021486,0.00215067,0.00214999,
