dimension,elapsed_time
868,0.076246000
869,0.077135000
870,0.077229000
871,0.077122000
872,0.078022000
873,0.078035000
874,0.078271000
875,0.078419000
876,0.078742000
877,0.078631000
878,0.078911000
879,0.079864000
880,0.079907000
881,0.079494000
882,0.080417000
883,0.080716000
884,0.080474000
885,0.081360000
886,0.081500000
887,0.081308000
888,0.081960000
889,0.082362000
890,0.082160000
891,0.082445000
892,0.083167000
893,0.083110000
894,0.083179000
895,0.084435000
896,0.083987000
897,0.084314000
898,0.084155000
899,0.084822000
900,0.085324000
901,0.085397000
902,0.086133000
903,0.085788000
904,0.085946000
905,0.087216000
906,0.086998000
907,0.087053000
908,0.087172000
909,0.087979000
910,0.087968000
911,0.087919000
912,0.088769000
913,0.088585000
914,0.088739000
915,0.089651000
916,0.089875000
917,0.090196000
918,0.089988000
919,0.090864000
920,0.090933000
921,0.090876000
922,0.091706000
923,0.091319000
924,0.091827000
925,0.092516000
926,0.092841000
927,0.092813000
928,0.097012000
929,0.093295000
930,0.093825000
931,0.093795000
932,0.095012000
933,0.094784000
934,0.094932000
935,0.095894000
936,0.096043000
937,0.095923000
938,0.096750000
939,0.096583000
940,0.099599000
941,0.097256000
942,0.097727000
943,0.113313000
944,0.124105000
945,0.123799000
946,0.108231000
947,0.101426000
948,0.099128000
949,0.098655000
950,0.098945000
951,0.099453000
952,0.101275000
953,0.100846000
954,0.101338000
955,0.102676000
956,0.106148000
957,0.102007000
958,0.102494000
959,0.102747000
960,0.103108000
961,0.103304000
962,0.104012000
963,0.104676000
964,0.104559000
965,0.105281000
966,0.105249000
967,0.105487000
968,0.105523000
969,0.106118000
970,0.107787000
971,0.106507000
972,0.107385000
973,0.107332000
974,0.107202000
975,0.108392000
976,0.108287000
977,0.108200000
978,0.108640000
979,0.109381000
980,0.118784000
981,0.109566000
982,0.110032000
983,0.110498000
984,0.110894000
985,0.111527000
986,0.112499000
987,0.113665000
988,0.111448000
989,0.112893000
990,0.112713000
991,0.112859000
992,0.113739000
993,0.113995000
994,0.113866000
995,0.114451000
996,0.115436000
997,0.114995000
998,0.115246000
999,0.116663000
1000,0.115961000
1001,0.116576000
1002,0.117045000
1003,0.120441000
1004,0.118289000
1005,0.119262000
1006,0.118065000
1007,0.118619000
1008,0.119005000
1009,0.119622000
1010,0.119701000
1011,0.119614000
1012,0.120552000
1013,0.122433000
1014,0.121281000
1015,0.121358000
1016,0.121580000
1017,0.121661000
1018,0.122126000
1019,0.122828000
1020,0.123757000
1021,0.123309000
1022,0.124028000
1023,0.124235000
1024,0.124193000
1025,0.125328000
1026,0.125487000
1027,0.125822000
1028,0.136949000
1029,0.127115000
1030,0.126985000
1031,0.127260000
1032,0.127982000
1033,0.128173000
1034,0.128199000
1035,0.137673000
1036,0.165043000
1037,0.137424000
1038,0.134127000
