Dimension,B_Sparsity,C_Sparsity,Unzipper_Time1,Unzipper_Time2
1833,25,50,0.440123,0.557913,
2336,25,50,0.907739,1.14819,
2976,25,50,1.87308,2.36976,
3793,25,50,4.03229,4.90698,
4833,25,50,8.46859,10.1286,
6158,25,50,17.7656,20.5792,
7848,25,50,37.2051,43.0568,
10000,25,50,76.9332,89.2106,
100,50,5,4.7006e-05,3.0289e-05,
127,50,5,7.8148e-05,6.0898e-05,
162,50,5,0.000150629,0.000111185,
207,50,5,0.000318174,0.000207762,
264,50,5,0.000545716,0.000417138,
336,50,5,0.000924166,0.000824759,
428,50,5,0.00208095,0.00197849,
546,50,5,0.00407838,0.00404653,
695,50,5,0.00807336,0.00775482,
886,50,5,0.0165406,0.0156434,
1129,50,5,0.0342437,0.0302334,
1438,50,5,0.0618593,0.0603176,
1833,50,5,0.124003,0.121852,
2336,50,5,0.246656,0.24461,
2976,50,5,0.506703,0.508207,
3793,50,5,1.04787,1.03606,
4833,50,5,2.1458,2.10844,
6158,50,5,4.39756,4.33342,
7848,50,5,8.99059,8.90518,
10000,50,5,18.973,18.3033,
100,50,10,6.7816e-05,7.4898e-05,
127,50,10,0.000130002,0.000101295,
162,50,10,0.000223788,0.000328972,
207,50,10,0.000524657,0.000543173,
264,50,10,0.00103651,0.000946158,
336,50,10,0.00209535,0.00183957,
428,50,10,0.00382491,0.00353165,
546,50,10,0.00778258,0.00701858,
695,50,10,0.0153356,0.0139257,
886,50,10,0.0288598,0.0281264,
1129,50,10,0.0571284,0.0565056,
1438,50,10,0.112475,0.113681,
1833,50,10,0.228367,0.233203,
2336,50,10,0.467683,0.466391,
2976,50,10,0.949398,0.95544,
3793,50,10,1.95773,1.96968,
4833,50,10,4.02933,4.05587,
6158,50,10,8.25118,8.47915,
7848,50,10,18.0674,17.3196,
10000,50,10,38.0144,36.1582,
100,50,25,0.000122052,0.000134933,
127,50,25,0.000259288,0.000266602,
162,50,25,0.000543932,0.000495226,
207,50,25,0.000865562,0.000987114,
264,50,25,0.00211057,0.00210866,
336,50,25,0.00370919,0.00384961,
428,50,25,0.00690515,0.00786121,
546,50,25,0.0150072,0.015811,
695,50,25,0.0294722,0.0319451,
886,50,25,0.0590044,0.0652677,
1129,50,25,0.121651,0.133456,
1438,50,25,0.246864,0.274061,
1833,50,25,0.510022,0.563865,
2336,50,25,1.06455,1.16399,
2976,50,25,2.18818,2.40977,
3793,50,25,4.49957,4.96526,
4833,50,25,9.55984,10.2213,
6158,50,25,20.4411,21.0683,
7848,50,25,43.2548,43.0807,
10000,50,25,89.5813,88.6183,
100,50,50,0.000175286,0.000230793,
127,50,50,0.000447015,0.000446026,
162,50,50,0.000724085,0.000873578,
207,50,50,0.0016336,0.00178984,
264,50,50,0.00299571,0.0035765,
336,50,50,0.00613569,0.00716336,
428,50,50,0.0117315,0.0144964,
546,50,50,0.0239182,0.0299935,
695,50,50,0.0487296,0.0611365,
886,50,50,0.098008,0.125344,
1129,50,50,0.199741,0.259163,
1438,50,50,0.420223,0.53166,
1833,50,50,0.872284,1.10421,
2336,50,50,1.7928,2.2717,
2976,50,50,3.69276,4.78127,
3793,50,50,8.12855,9.8685,
4833,50,50,17.0874,20.347,
6158,50,50,35.8591,41.9835,
7848,50,50,74.3957,86.8224,
10000,50,50,154.017,179.563,
